0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2018  17. Ingressos per capita dos estados estadosalaspúblicopopulaçãoingressos per capita1DISTRITO FEDERAL874.999.4572.974.7031,682RIO DE JANEIRO37523.901.87017.159.9601,393RORAIMA15720.236576.5681,254SÃO PAULO1.02955.235.01345.538.9361,215AMAZONAS713.569.1983.995.2580,896AMAPÁ15624.220829.4940,757ESPIRITO SANTO732.977.4663.972.3880,758SANTA CATARINA1485.271.9707.075.4940,759PARANÁ2018.435.47411.348.9370,7410MATO GROSSO532.445.5843.441.9980,7111RONDONIA20850.4171.238.0580,6912GOIÁS1164.497.3616.921.1610,6513RIO GRANDE DO SUL1806.997.45911.329.6050,6214PERNAMBUCO1165.801.8219.486.1910,6115MATO GROSSO DO SUL271.629.8532.748.0230,5916ACRE7481.840869.2650,5517RIO GRANDE DO NORTE311.847.3273.377.9080,5518CEARÁ1014.925.3179.075.6490,5419MINAS GERAIS26911.169.43821.040.6620,5320SERGIPE241.120.9752.278.3080,4921ALAGOAS291.526.7293.322.8200,4622PARÁ843.761.8408.504.5980,4423PARAIBA401.611.2963.973.9400,4124PIAUI301.322.1823.264.5310,4125BAHIA1145.841.50014.744.6830,426TOCANTINS18610.8681.555.2290,3927MARANHÃO602.260.4826.914.4340,33Total3.333164.437.193207.558.8010,79Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme BObservações: * ingressos per capita é a divisão do número de espectadores pela população.  Topo da página  © Copyright Filme B. Todos os direitos reservados.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2018,,,,,,,,,,,,,,,,,,,,,
,17. Ingressos per capita dos estados,,,,,,,,,,,,,,,,,,,,,
"estadosalaspúblicopopulaçãoingressos per capita1DISTRITO FEDERAL874.999.4572.974.7031,682RIO DE JANEIRO37523.901.87017.159.9601,393RORAIMA15720.236576.5681,254SÃO PAULO1.02955.235.01345.538.9361,215AMAZONAS713.569.1983.995.2580,896AMAPÁ15624.220829.4940,757ESPIRITO SANTO732.977.4663.972.3880,758SANTA CATARINA1485.271.9707.075.4940,759PARANÁ2018.435.47411.348.9370,7410MATO GROSSO532.445.5843.441.9980,7111RONDONIA20850.4171.238.0580,6912GOIÁS1164.497.3616.921.1610,6513RIO GRANDE DO SUL1806.997.45911.329.6050,6214PERNAMBUCO1165.801.8219.486.1910,6115MATO GROSSO DO SUL271.629.8532.748.0230,5916ACRE7481.840869.2650,5517RIO GRANDE DO NORTE311.847.3273.377.9080,5518CEARÁ1014.925.3179.075.6490,5419MINAS GERAIS26911.169.43821.040.6620,5320SERGIPE241.120.9752.278.3080,4921ALAGOAS291.526.7293.322.8200,4622PARÁ843.761.8408.504.5980,4423PARAIBA401.611.2963.973.9400,4124PIAUI301.322.1823.264.5310,4125BAHIA1145.841.50014.744.6830,426TOCANTINS18610.8681.555.2290,3927MARANHÃO602.260.4826.914.4340,33Total3.333164.437.193207.558.8010,79Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2018 - Pesquisa: Filme BObservações: * ingressos per capita é a divisão do número de espectadores pela população.",,,,,,,,,,,,,,,,,,,,,,
,estado,salas,público,população,ingressos per capita,,,,,,,,,,,,,,,,,
1,DISTRITO FEDERAL,87,4.999.457,2.974.703,168,,,,,,,,,,,,,,,,,
2,RIO DE JANEIRO,375,23.901.870,17.159.960,139,,,,,,,,,,,,,,,,,
3,RORAIMA,15,720.236,576.568,125,,,,,,,,,,,,,,,,,
4,SÃO PAULO,1.029,55.235.013,45.538.936,121,,,,,,,,,,,,,,,,,
5,AMAZONAS,71,3.569.198,3.995.258,089,,,,,,,,,,,,,,,,,
6,AMAPÁ,15,624.220,829.494,075,,,,,,,,,,,,,,,,,
7,ESPIRITO SANTO,73,2.977.466,3.972.388,075,,,,,,,,,,,,,,,,,
8,SANTA CATARINA,148,5.271.970,7.075.494,075,,,,,,,,,,,,,,,,,
9,PARANÁ,201,8.435.474,11.348.937,074,,,,,,,,,,,,,,,,,
