0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Comentário  Database Brasil 2004  20. Ingressos per capita dos estados  estadosalasespectadorespopulação estadoingressos per capita1Distrito Federal774.632.4562.282.0492,02Rio de Janeiro24215.951.47815.203.7501,03São Paulo69741.085.13139.825.2261,04Rio Grande do Sul1556.935.01910.726.0630,65Paraná1416.084.05710.135.3880,66Espírito Santo421.912.6293.352.0240,67Sergipe141.016.0461.934.5960,58Goiás562.715.2245.508.2450,59Amazonas171.472.5613.138.7260,510Mato Grosso do Sul181.022.8422.230.7020,511Santa Catarina592.602.1675.774.1780,512Minas Gerais1958.007.88418.993.7200,413Mato Grosso281.074.9192.749.1450,414Pernambuco512.906.2718.323.9110,315Bahia674.395.24313.682.0740,316Paraíba26997.1573.568.3500,317Ceará322.225.5357.976.5630,318Rio Grande do Norte10800.6262.962.1070,319Amapá6142.150547.4000,320Pará171.238.7166.850.1810,221Maranhão17997.6286.021.5040,222Alagoas6476.1552.980.9100,223Rondônia5225.7451.562.0850,124Roraima354.123381.8960,125Piauí9263.7732.977.2590,126Acre251.137630.3280,127Tocantins576.5171.262.6440,1Total estados1997109.363.189181.581.0240,6Fonte: Base de dados SDRJ - Fonte pop.: IBGE - estimativ - Pesquisa: www.filmeb.com.brObservações: * ingressos per capita é a divisão do número de espectadores pela população. Estes totais de público omitem cerca de 5% de espectadores, que é a diferença entre os números do box office do SDRJ (mais completo) e a base de dados do SDRJ (SIAV) que foi utilizada para essa planilha, que é parcial e atualizada ao longo do ano.  Topo da página  © Copyright Filme B. Todos os direitos reservados.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,Comentário,,,,,,,,,,,
,Database Brasil 2004,,,,,,,,,,,,,,,,,,,,,
,20. Ingressos per capita dos estados,,,,,,,,,,,,,,,,,,,,,
"estadosalasespectadorespopulação estadoingressos per capita1Distrito Federal774.632.4562.282.0492,02Rio de Janeiro24215.951.47815.203.7501,03São Paulo69741.085.13139.825.2261,04Rio Grande do Sul1556.935.01910.726.0630,65Paraná1416.084.05710.135.3880,66Espírito Santo421.912.6293.352.0240,67Sergipe141.016.0461.934.5960,58Goiás562.715.2245.508.2450,59Amazonas171.472.5613.138.7260,510Mato Grosso do Sul181.022.8422.230.7020,511Santa Catarina592.602.1675.774.1780,512Minas Gerais1958.007.88418.993.7200,413Mato Grosso281.074.9192.749.1450,414Pernambuco512.906.2718.323.9110,315Bahia674.395.24313.682.0740,316Paraíba26997.1573.568.3500,317Ceará322.225.5357.976.5630,318Rio Grande do Norte10800.6262.962.1070,319Amapá6142.150547.4000,320Pará171.238.7166.850.1810,221Maranhão17997.6286.021.5040,222Alagoas6476.1552.980.9100,223Rondônia5225.7451.562.0850,124Roraima354.123381.8960,125Piauí9263.7732.977.2590,126Acre251.137630.3280,127Tocantins576.5171.262.6440,1Total estados1997109.363.189181.581.0240,6Fonte: Base de dados SDRJ - Fonte pop.: IBGE - estimativ - Pesquisa: www.filmeb.com.brObservações: * ingressos per capita é a divisão do número de espectadores pela população. Estes totais de público omitem cerca de 5% de espectadores, que é a diferença entre os números do box office do SDRJ (mais completo) e a base de dados do SDRJ (SIAV) que foi utilizada para essa planilha, que é parcial e atualizada ao longo do ano.",,,,,,,,,,,,,,,,,,,,,,
,estado,salas,espectadores,população estado,ingressos per capita,,,,,,,,,,,,,,,,,
1,Distrito Federal,77,4.632.456,2.282.049,20,,,,,,,,,,,,,,,,,
2,Rio de Janeiro,242,15.951.478,15.203.750,10,,,,,,,,,,,,,,,,,
