0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"-->  Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000  Menu  Imprimir  Anterior  Próximo  Database Brasil 2017  17. Ingressos per capita dos estados estadosalaspúblicopopulaçãoingressos per capita1DISTRITO FEDERAL875.633.7013.039.4441,852RORAIMA15829.682522.636 1,593RIO DE JANEIRO36125.927.52716.718.9561,554SÃO PAULO1.01562.565.74745.094.8661,395AMAZONAS703.936.9294.063.6140,976AMAPÁ15687.786797.7220,867SANTA CATARINA1335.896.9447.001.1610,848PARANÁ1939.506.82711.320.8920,849MATO GROSSO462.755.6453.344.5440,8210ESPIRITO SANTO743.201.2044.016.3560,8011GOIÁS1175.042.3006.778.7720,7412MATO GROSSO DO SUL271.874.0512.713.1470,6913RIO GRANDE DO SUL1767.749.23011.322.8950,6814PERNAMBUCO976.201.4679.473.2660,6515ACRE7535.170829.6190,6516CEARÁ1015.704.3369.020.4600,6317RIO GRANDE DO NORTE312.120.8373.507.0030,6018MINAS GERAIS25712.184.45621.119.5360,5819SERGIPE241.243.7372.288.1160,5420ALAGOAS291.750.3073.375.8230,5221RONDONIA18907.7041.805.7880,5022PIAUI261.536.0123.219.2570,4823PARÁ663.953.8388.366.6280,4724PARAIBA371.855.9304.025.5580,4625TOCANTINS18677.0781.550.1940,4426BAHIA1046.440.31015.344.4470,4227MARANHÃO622.331.3637.000.2290,33Total3.206183.050.118207.660.9290,88Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme BObservações: * ingressos per capita é a divisão do número de espectadores pela população.  Topo da página  © Copyright Filme B. Todos os direitos reservados.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Busca Em todos os anos 2017  2016  2015  2014  2013  2012  2011  2010  2009  2008  2007  2006  2005  2004  2003  2002  2001  2000,,Menu,,Imprimir,,Anterior,,Próximo,,,,,,,,,,,,,
,Database Brasil 2017,,,,,,,,,,,,,,,,,,,,,
,17. Ingressos per capita dos estados,,,,,,,,,,,,,,,,,,,,,
"estadosalaspúblicopopulaçãoingressos per capita1DISTRITO FEDERAL875.633.7013.039.4441,852RORAIMA15829.682522.636 1,593RIO DE JANEIRO36125.927.52716.718.9561,554SÃO PAULO1.01562.565.74745.094.8661,395AMAZONAS703.936.9294.063.6140,976AMAPÁ15687.786797.7220,867SANTA CATARINA1335.896.9447.001.1610,848PARANÁ1939.506.82711.320.8920,849MATO GROSSO462.755.6453.344.5440,8210ESPIRITO SANTO743.201.2044.016.3560,8011GOIÁS1175.042.3006.778.7720,7412MATO GROSSO DO SUL271.874.0512.713.1470,6913RIO GRANDE DO SUL1767.749.23011.322.8950,6814PERNAMBUCO976.201.4679.473.2660,6515ACRE7535.170829.6190,6516CEARÁ1015.704.3369.020.4600,6317RIO GRANDE DO NORTE312.120.8373.507.0030,6018MINAS GERAIS25712.184.45621.119.5360,5819SERGIPE241.243.7372.288.1160,5420ALAGOAS291.750.3073.375.8230,5221RONDONIA18907.7041.805.7880,5022PIAUI261.536.0123.219.2570,4823PARÁ663.953.8388.366.6280,4724PARAIBA371.855.9304.025.5580,4625TOCANTINS18677.0781.550.1940,4426BAHIA1046.440.31015.344.4470,4227MARANHÃO622.331.3637.000.2290,33Total3.206183.050.118207.660.9290,88Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme BObservações: * ingressos per capita é a divisão do número de espectadores pela população.",,,,,,,,,,,,,,,,,,,,,,
,estado,salas,público,população,ingressos per capita,,,,,,,,,,,,,,,,,
1,DISTRITO FEDERAL,87,5.633.701,3.039.444,185,,,,,,,,,,,,,,,,,
2,RORAIMA,15,829.682,522.636,159,,,,,,,,,,,,,,,,,
3,RIO DE JANEIRO,361,25.927.527,16.718.956,155,,,,,,,,,,,,,,,,,
4,SÃO PAULO,1.015,62.565.747,45.094.866,139,,,,,,,,,,,,,,,,,
5,AMAZONAS,70,3.936.929,4.063.614,097,,,,,,,,,,,,,,,,,
6,AMAPÁ,15,687.786,797.722,086,,,,,,,,,,,,,,,,,
7,SANTA CATARINA,133,5.896.944,7.001.161,084,,,,,,,,,,,,,,,,,
8,PARANÁ,193,9.506.827,11.320.892,084,,,,,,,,,,,,,,,,,
9,MATO GROSSO,46,2.755.645,3.344.544,082,,,,,,,,,,,,,,,,,
10,ESPIRITO SANTO,74,3.201.204,4.016.356,080,,,,,,,,,,,,,,,,,
11,GOIÁS,117,5.042.300,6.778.772,074,,,,,,,,,,,,,,,,,
12,MATO GROSSO DO SUL,27,1.874.051,2.713.147,069,,,,,,,,,,,,,,,,,
13,RIO GRANDE DO SUL,176,7.749.230,11.322.895,068,,,,,,,,,,,,,,,,,
14,PERNAMBUCO,97,6.201.467,9.473.266,065,,,,,,,,,,,,,,,,,
15,ACRE,7,535.170,829.619,065,,,,,,,,,,,,,,,,,
16,CEARÁ,101,5.704.336,9.020.460,063,,,,,,,,,,,,,,,,,
17,RIO GRANDE DO NORTE,31,2.120.837,3.507.003,060,,,,,,,,,,,,,,,,,
18,MINAS GERAIS,257,12.184.456,21.119.536,058,,,,,,,,,,,,,,,,,
19,SERGIPE,24,1.243.737,2.288.116,054,,,,,,,,,,,,,,,,,
20,ALAGOAS,29,1.750.307,3.375.823,052,,,,,,,,,,,,,,,,,
21,RONDONIA,18,907.704,1.805.788,050,,,,,,,,,,,,,,,,,
22,PIAUI,26,1.536.012,3.219.257,048,,,,,,,,,,,,,,,,,
23,PARÁ,66,3.953.838,8.366.628,047,,,,,,,,,,,,,,,,,
24,PARAIBA,37,1.855.930,4.025.558,046,,,,,,,,,,,,,,,,,
25,TOCANTINS,18,677.078,1.550.194,044,,,,,,,,,,,,,,,,,
26,BAHIA,104,6.440.310,15.344.447,042,,,,,,,,,,,,,,,,,
27,MARANHÃO,62,2.331.363,7.000.229,033,,,,,,,,,,,,,,,,,
,Total,3.206,183.050.118,207.660.929,088,,,,,,,,,,,,,,,,,
Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,
Observações: * ingressos per capita é a divisão do número de espectadores pela população.,Observações: * ingressos per capita é a divisão do número de espectadores pela população.,Observações: * ingressos per capita é a divisão do número de espectadores pela população.,Observações: * ingressos per capita é a divisão do número de espectadores pela população.,Observações: * ingressos per capita é a divisão do número de espectadores pela população.,Observações: * ingressos per capita é a divisão do número de espectadores pela população.,,,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
