1,2,4
município,UF,salas
SAO PAULO,SP,264
RIO DE JANEIRO,RJ,169
BRASILIA *,DF,92
BELO HORIZONTE,MG,72
CURITIBA,PR,67
PORTO ALEGRE,RS,55
CAMPINAS,SP,46
GOIANIA,GO,44
SALVADOR,BA,42
RECIFE,PE,30
MANAUS,AM,30
FORTALEZA,CE,29
RIBEIRAO PRETO,SP,27
GUARULHOS,SP,21
FLORIANOPOLIS,SC,19
SANTOS,SP,19
JOAO PESSOA,PB,18
SOROCABA,SP,18
VITORIA,ES,17
NITEROI,RJ,16
SAO JOSE DO RIO PRETO,SP,16
CUIABA,MT,16
SAO JOSE DOS CAMPOS,SP,16
SAO LUIS,MA,15
SANTO ANDRE,SP,15
SAO BERNARDO DO CAMPO,SP,14
NATAL,RN,14
ARACAJU,SE,14
CAMPO GRANDE,MS,12
UBERLANDIA,MG,12
JABOATAO,PE,12
OSASCO,SP,11
POCOS DE CALDAS,MG,10
CONTAGEM,MG,10
BELEM,PA,10
PRAIA GRANDE,SP,10
UBERABA,MG,9
JUIZ DE FORA,MG,9
LONDRINA,PR,9
MARINGA,PR,9
BAURU,SP,9
BARUERI,SP,9
PETROPOLIS,RJ,9
VILA VELHA,ES,8
FOZ DO IGUACU,PR,8
SAO GONCALO,RJ,8
MACEIO,AL,7
GUARUJA,SP,7
DIVINOPOLIS,MG,7
CAXIAS DO SUL,RS,7
BALNEARIO DE CAMBORIU,SC,7
ARARAQUARA,SP,7
PRESIDENTE PRUDENTE,SP,7
SAO VICENTE,SP,7
CANOAS,RS,7
JUNDIAI,SP,7
VOLTA REDONDA,RJ,6
CASCAVEL,PR,6
SAO JOSE,SC,6
MARILIA,SP,6
APARECIDA DE GOIANIA,GO,6
CAMPOS,RJ,6
SAO JOAO DE MERITI,RJ,6
BLUMENAU,SC,6
MACAPA,AP,5
ITUMBIARA,GO,5
DUQUE DE CAXIAS,RJ,5
NOVA IGUACU,RJ,5
BENTO GONCALVES,RS,5
JOINVILLE,SC,5
INDAIATUBA,SP,5
TERESINA,PI,5
NOVO HAMBURGO,RS,5
SAO LEOPOLDO,RS,5
JACAREI,SP,5
MAUA,SP,5
PIRACICABA,SP,5
RIO CLARO,SP,5
SUZANO,SP,5
TABOAO DA SERRA,SP,5
VITORIA DA CONQUISTA,BA,4
RIO VERDE,GO,4
RESENDE,RJ,4
PASSO FUNDO,RS,4
CRICIUMA,SC,4
SAO CARLOS,SP,4
PINDAMONHANGABA,SP,4
FEIRA DE SANTANA,BA,4
SERRA,ES,4
CAMPINA GRANDE,PB,4
PONTA GROSSA,PR,4
BOA VISTA,RR,4
SANTA CRUZ DO SUL,RS,4
TUBARAO,SC,4
GUARATINGUETA,SP,4
LIMEIRA,SP,4
MOGI DAS CRUZES,SP,4
SANTA BARBARA D'OESTE,SP,4
TAUBATE,SP,4
PORTO VELHO,RO,3
ANAPOLIS,GO,3
VARGINHA,MG,3
GUARAPUAVA,PR,3
ANGRA DOS REIS,RJ,3
CAPAO DA CANOA,RS,3
LAGES,SC,3
ASSIS,SP,3
JAU,SP,3
GUARAPARI,ES,3
LINHARES,ES,3
BETIM,MG,3
IPATINGA,MG,3
MONTES CLAROS,MG,3
DOURADOS,MS,3
RONDONOPOLIS,MT,3
TUCURUI,PA,3
CARUARU,PE,3
NILOPOLIS,RJ,3
NOVA FRIBURGO,RJ,3
PELOTAS,RS,3
BRUSQUE,SC,3
JARAGUA DO SUL,SC,3
ARACATUBA,SP,3
FRANCA,SP,3
ITU,SP,3
MOGI-MIRIM,SP,3
LINS,SP,2
MOGI-GUACU,SP,1
RIO BRANCO,AC,2
MONTE ALTO,SP,1
SANTANA,AP,2
OLIMPIA,SP,1
CAMACARI,BA,2
ORLANDIA,SP,1
ILHEUS,BA,2
OSVALDO CRUZ,SP,1
ITABUNA,BA,2
PARAGUACU PAULISTA,SP,1
SANTO ANTONIO DE JESUS,BA,2
PEDERNEIRAS,SP,1
TEIXEIRA DE FREITAS,BA,2
PEDREIRA,SP,1
JUAZEIRO DO NORTE,CE,2
PENAPOLIS,SP,1
MARACANAU,CE,2
