1,2,3,4
estado,n° salas,pop. estado,habit x sala
Distrito Federal,76,2.051.146,26.989
São Paulo,595,37.032.403,62.239
Rio de Janeiro,215,14.391.282,66.936
Rio Grande do Sul,148,10.187.798,68.836
Amapá,5,477.032,95.406
Goiás,46,5.003.228,108.766
Minas Gerais,157,17.891.494,113.959
Paraná,82,9.563.458,116.628
Santa Catarina,45,5.356.360,119.030
Mato Grosso,21,2.504.353,119.255
Mato Grosso do Sul,17,2.078.001,122.235
Amazonas,20,2.812.557,140.628
Espírito Santo,21,3.097.232,147.487
Roraima,2,324.397,162.199
Sergipe,10,1.784.475,178.448
Paraíba,15,3.443.825,229.588
Pernambuco,33,7.918.344,239.950
Bahia,54,13.070.250,242.042
Acre,2,557.526,278.763
Piauí,10,2.843.278,284.328
Ceará,22,7.430.661,337.757
Rondônia,4,1.379.787,344.947
Rio Grande do Norte,6,2.776.782,462.797
Alagoas,6,2.822.621,470.437
Pará,13,6.192.307,476.331
Tocantins,2,1.157.098,578.549
Maranhão,8,5.651.475,706.434
Total,1635,169.799.170,103.853
