1,2,3
município,UF,n° salas
SAO PAULO,SP,252
RIO DE JANEIRO,RJ,148
BELO HORIZONTE,MG,71
BRASILIA,DF,68
CURITIBA,PR,60
PORTO ALEGRE,RS,51
CAMPINAS,SP,46
SALVADOR,BA,35
RECIFE,PE,30
FORTALEZA,CE,29
GOIANIA,GO,28
RIBEIRAO PRETO,SP,27
MANAUS,AM,22
GUARULHOS,SP,21
SANTOS,SP,19
CUIABA,MT,18
JOAO PESSOA,PB,18
SOROCABA,SP,18
NITEROI,RJ,16
SAO LUIS,MA,15
SANTO ANDRE,SP,15
SAO JOSE DOS CAMPOS,SP,15
NATAL,RN,14
ARACAJU,SE,14
SAO BERNARDO DO CAMPO,SP,13
UBERLANDIA,MG,12
CAMPO GRANDE,MS,12
BELEM,PA,12
JABOATAO,PE,12
TAGUATINGA,DF,11
BAURU,SP,11
CONTAGEM,MG,10
ARARAQUARA,SP,10
OSASCO,SP,10
PRAIA GRANDE,SP,10
VITORIA,ES,9
JUIZ DE FORA,MG,9
POCOS DE CALDAS,MG,9
UBERABA,MG,9
LONDRINA,PR,9
MARINGA,PR,9
BARUERI,SP,9
MARILIA,SP,9
SAO JOSE DO RIO PRETO,SP,9
VILA VELHA,ES,8
CAMPOS,RJ,8
PETROPOLIS,RJ,8
SAO GONCALO,RJ,8
DIVINOPOLIS,MG,7
TERESINA,PI,7
CANOAS,RS,7
CAXIAS DO SUL,RS,7
TUBARAO,SC,7
GUARUJA,SP,7
JUNDIAI,SP,7
PRESIDENTE PRUDENTE,SP,7
MACEIO,AL,6
APARECIDA DE GOIANIA,GO,6
DOURADOS,MS,6
CASCAVEL,PR,6
SAO JOAO DE MERITI,RJ,6
VOLTA REDONDA,RJ,6
BLUMENAU,SC,6
MACAPA,AP,5
GUARAPARI,ES,5
ITUMBIARA,GO,5
NOVA LIMA,MG,5
DUQUE DE CAXIAS,RJ,5
NOVA IGUACU,RJ,5
NOVO HAMBURGO,RS,5
PELOTAS,RS,5
SAO LEOPOLDO,RS,5
FLORIANOPOLIS,SC,5
JOINVILLE,SC,5
INDAIATUBA,SP,5
JACAREI,SP,5
MAUA,SP,5
PIRACICABA,SP,5
RIO CLARO,SP,5
SUZANO,SP,5
TABOAO DA SERRA,SP,5
FEIRA DE SANTANA,BA,4
VITORIA DA CONQUISTA,BA,4
AGUAS CLARAS,DF,4
SERRA,ES,4
CAMPINA GRANDE,PB,4
FOZ DO IGUACU,PR,4
PONTA GROSSA,PR,4
RESENDE,RJ,4
CAPAO DA CANOA,RS,4
PASSO FUNDO,RS,4
SANTA CRUZ DO SUL,RS,4
SANTA MARIA,RS,4
CRICIUMA,SC,4
SAO JOSE,SC,4
GUARATINGUETA,SP,4
