1,2,3
minicípio,UF,n° salas
SAO PAULO,SP,249
RIO DE JANEIRO,RJ,156
BRASILIA,DF,67
BELO HORIZONTE,MG,66
CURITIBA,PR,57
PORTO ALEGRE,RS,56
CAMPINAS,SP,51
SALVADOR,BA,36
RECIFE,PE,31
GOIANIA,GO,30
FORTALEZA,CE,28
RIBEIRAO PRETO,SP,27
MANAUS,AM,22
SOROCABA,SP,19
NITEROI,RJ,18
CUIABA,MT,18
JOAO PESSOA,PB,18
SANTOS,SP,17
BELEM,PA,17
SAO LUIS,MA,16
GUARULHOS,SP,15
SANTO ANDRE,SP,15
SAO JOSE DOS CAMPOS,SP,15
ARACAJU,SE,14
SAO BERNARDO DO CAMPO,SP,13
CAMPO GRANDE,MS,13
UBERLANDIA,MG,13
JABOATAO,PE,12
TAGUATINGA,DF,11
UBERABA,MG,11
VITORIA,ES,10
CONTAGEM,MG,10
PRAIA GRANDE,SP,10
CAXIAS DO SUL,RS,10
ARARAQUARA,SP,10
OSASCO,SP,10
BARUERI,SP,9
LONDRINA,PR,9
SAO JOSE DO RIO PRETO,SP,9
VILA VELHA,ES,9
MARINGA,PR,9
JUIZ DE FORA,MG,9
SAO GONCALO,RJ,9
PONTA GROSSA,PR,9
MARILIA,SP,9
POCOS DE CALDAS,MG,9
TERESINA,PI,8
NATAL,RN,7
JUNDIAI,SP,7
CANOAS,RS,7
NOVO HAMBURGO,RS,7
PRESIDENTE PRUDENTE,SP,7
PETROPOLIS,RJ,7
MACAPA,AP,7
PIRACICABA,SP,6
MACEIO,AL,6
BLUMENAU,SC,6
SAO JOAO DE MERITI,RJ,6
APARECIDA DE GOIANIA,GO,6
VOLTA REDONDA,RJ,6
CASCAVEL,PR,6
GUARAPARI,ES,6
GUARATINGUETA,SP,6
FLORIANOPOLIS,SC,5
TABOAO DA SERRA,SP,5
JOINVILLE,SC,5
MAUA,SP,5
NOVA IGUACU,RJ,5
FEIRA DE SANTANA,BA,5
SUZANO,SP,5
SAO LEOPOLDO,RS,5
JACAREI,SP,5
ITU,SP,5
INDAIATUBA,SP,5
RIO CLARO,SP,5
DUQUE DE CAXIAS,RJ,5
PELOTAS,RS,5
GUARUJA,SP,5
BENTO GONCALVES,RS,5
PINDAMONHANGABA,SP,5
NOVA LIMA,MG,5
BAURU,SP,4
SANTA BARBARA D'OESTE,SP,4
MOGI DAS CRUZES,SP,4
TAUBATE,SP,4
SAO CARLOS,SP,4
FOZ DO IGUACU,PR,4
IPATINGA,MG,4
LIMEIRA,SP,4
SANTA MARIA,RS,4
CAMPINA GRANDE,PB,4
SERRA,ES,4
PASSO FUNDO,RS,4
RESENDE,RJ,4
CRICIUMA,SC,4
GOVERNADOR VALADARES,MG,4
SANTA CRUZ DO SUL,RS,4
CARUARU,PE,4
CAPAO DA CANOA,RS,4
SAO JOSE,SC,4
ÁGUAS CLARAS,DF,4
FRANCA,SP,3
NOVA FRIBURGO,RJ,3
BETIM,MG,3
MONTES CLAROS,MG,3
BALNEARIO DE CAMBORIU,SC,3
JARAGUA DO SUL,SC,3
RONDONOPOLIS,MT,3
NILOPOLIS,RJ,3
PORTO VELHO,RO,3
JAU,SP,3
ANAPOLIS,GO,3
DOURADOS,MS,3
BRUSQUE,SC,3
VARGINHA,MG,3
SETE LAGOAS,MG,3
COSMOPOLIS,SP,3
PALMAS DO TOCANTINS,TO,3
GUARAPUAVA,PR,3
TUBARAO,SC,3
LINHARES,ES,3
APUCARANA,PR,3
ITUMBIARA,GO,3
BOA VISTA,RR,3
MOGI-MIRIM,SP,3
ASSIS,SP,3
GRAMADO,RS,1
TAQUARITINGA,SP,1
ANDRADAS,MG,1
ARACRUZ,ES,1
JOACABA,SC,1
LEOPOLDINA,MG,1
ARAXA,MG,1
CACOAL,RO,1
PASSOS,MG,1
CACAPAVA,SP,1
BIRIGUI,SP,1
UMUARAMA,PR,1
SANTA FE DO SUL,SP,1
LAURO DE FREITAS,BA,1
VOTUPORANGA,SP,1
PENAPOLIS,SP,1
AVARE,SP,1
CAMBUI,MG,1
CONSELHEIRO LAFAIETE,MG,1
TRES RIOS,RJ,1
CASA BRANCA,SP,1
VALENCA,RJ,1
ANDRADINA,SP,1
ITAPEVA,SP,1
SERRA NEGRA,SP,1
SAO JOSE DO RIO PARDO,SP,1
MONTENEGRO,RS,1
JATAI,GO,1
CACERES,MT,1
JAGUARIUNA,SP,1
ITAJUBA,MG,1
MOGI-GUACU,SP,1
BARIRI,SP,1
CALDAS NOVAS,GO,1
SANTO ANGELO,RS,1
BRUMADO,BA,1
GUAXUPE,MG,1
DESCALVADO,SP,1
IJUI,RS,1
ITAPERUNA,RJ,1
IMPERATRIZ,MA,1
VICOSA,MG,1
CIANORTE,PR,1
TRES LAGOAS,MS,1
OLIMPIA,SP,1
BERTIOGA,SP,1
CAMPO BELO,MG,1
CATAGUASES,MG,1
SAO MANUEL,SP,1
